"ABHD2"
"ACTB"
"ACTN4"
"ACTN4"
"ADAM9"
"ADAM9"
"ADIPOR1"
"AFDN"
"AFF4"
"AKAP13"
"AKAP9"
"ALCAM"
"ALDH2"
"ANP32B"
"ANXA1"
"APH1A"
"AQP4"
"AREG"
"ARHGAP5"
"ARHGEF12"
"ARID1A"
"ARID1B"
"ATF3"
"ATF4"
"ATP1A1"
"ATP5F1B"
"ATRX"
"B2M"
"B2M"
"BAG1"
"BCL2L1"
"BCLAF1"
"BNIP3"
"BNIP3L"
"BRD2"
"BRD2"
"BRD2"
"BRD2"
"BRD2"
"BRD2"
"BRD2"
"BTG1"
"BTG2"
"CALR"
"CAMK2D"
"CAMTA1"
"CAV1"
"CCDC6"
"CCND1"
"CD151"
"CD2AP"
"CD44"
"CD46"
"CD55"
"CD59"
"CD74"
"CD9"
"CDC42"
"CDC42EP1"
"CDH1"
"CDKN1A"
"CEACAM5"
"CEBPB"
"CELF2"
"CFLAR"
"CHD2"
"CHD4"
"CHD9"
"CIRBP"
"CITED2"
"CLDN4"
"CLDN7"
"CLDN7"
"CLIC1"
"CLIC1"
"CLIC1"
"CLIC1"
"CLIC1"
"CLIC1"
"CLIC1"
"CLTC"
"CLU"
"CNBP"
"COL1A1"
"COX6C"
"CPEB4"
"CPM"
"CRIP2"
"CSNK1A1"
"CST6"
"CSTB"
"CTNNA1"
"CTNNB1"
"CTNND1"
"CTSB"
"CTSH"
"CTTN"
"CTTN"
"CUX1"
"CXCL17"
"CXCL2"
"CYB5A"
"CYP4B1"
"DDIT4"
"DDR1"
"DDR1"
"DDR1"
"DDR1"
"DDR1"
"DDR1"
"DDR1"
"DDX3X"
"DDX5"
"DDX6"
"DEK"
"DLC1"
"DMBT1"
"DNAJB1"
"DRAM1"
"DSG2"
"DST"
"DUSP1"
"DUSP6"
"EEF1A1"
"EFEMP1"
"EGFR"
"EGR1"
"EHF"
"EIF1AX"
"EIF3A"
"EIF3E"
"EIF3F"
"EIF4A2"
"EIF4B"
"EIF4G1"
"ELF3"
"EMP1"
"ENAH"
"ENO1"
"EPCAM"
"EPHA2"
"EPS8"
"ERBB2"
"ERBB3"
"ERGIC3"
"ERRFI1"
"ETS2"
"EZR"
"FABP5"
"FAM107B"
"FAU"
"FLNA"
"FLNB"
"FOS"
"FOSB"
"FOXA1"
"FOXP1"
"FOXQ1"
"FUS"
"FXYD3"
"GADD45G"
"GADD45GIP1"
"GDF15"
"GNAQ"
"GNAS"
"GPRC5A"
"GRN"
"GSN"
"GSPT1"
"HDLBP"
"HERPUD1"
"HES1"
"HEXIM1"
"HIF1A"
"HMGB1"
"HNRNPA2B1"
"HNRNPA3"
"HNRNPD"
"HNRNPK"
"HOOK3"
"HSP90AA1"
"HSP90AB1"
"HSP90B1"
"HSPA5"
"HSPA8"
"HSPB1"
"HSPD1"
"HSPH1"
"ICAM1"
"ID1"
"ID2"
"ID3"
"ID3"
"ID4"
"IER2"
"IER3"
"IER3"
"IER3"
"IER3"
"IER3"
"IER3"
"IFI27"
"IFI27"
"IGFBP2"
"IGFBP7"
"IKBKB"
"IL6ST"
"INTS6"
"IRF1"
"IRF2BP2"
"ITGB4"
"JUN"
"JUNB"
"JUND"
"KIF5B"
"KITLG"
"KLF4"
"KLF5"
"KLF6"
"KMT2A"
"KMT2C"
"KPNB1"
"KRAS"
"KTN1"
"LGALS3"
"LGALS3BP"
"LMNA"
"LMO3"
"LMO7"
"LPP"
"LRRFIP1"
"LTBP3"
"LY6E"
"LY6E"
"MACF1"
"MAP3K13"
