"x"
"ABCA3"
"ABHD2"
"ABI1"
"ABO"
"ACSL3"
"ACSL5"
"ACTB"
"ACTN4"
"ACVR1B"
"ADAM10"
"ADAM9"
"ADAMTS1"
"ADD3"
"ADIPOR1"
"AFDN"
"AFF1"
"AFF4"
"AGER"
"AHI1"
"AKAP13"
"AKAP9"
"AKR1C3"
"AKT1"
"ALCAM"
"ALDH2"
"ANP32A"
"ANP32B"
"ANXA1"
"APH1A"
"AQP4"
"AREG"
"ARF6"
"ARHGAP21"
"ARHGAP5"
"ARHGEF12"
"ARHGEF2"
"ARID1A"
"ARID1B"
"ARID4A"
"ARID5B"
"ARMCX3"
"ASL"
"ATF3"
"ATF4"
"ATF7IP"
"ATP1A1"
"ATP2B4"
"ATP5F1B"
"ATP8B1"
"ATRX"
"AUTS2"
"B2M"
"B4GALT5"
"BAD"
"BAG1"
"BAG3"
"BAX"
"BAZ1A"
"BCL2L1"
"BCL3"
"BCL6"
"BCL9L"
"BCLAF1"
"BIRC2"
"BIRC3"
"BIRC6"
"BLCAP"
"BNIP3"
"BNIP3L"
"BRAF"
"BRD2"
"BRD3"
"BRD4"
"BTG1"
"BTG2"
"CADPS2"
"CALR"
"CAMK2D"
"CAMTA1"
"CANT1"
"CAPG"
"CASZ1"
"CAV1"
"CBX4"
"CCDC6"
"CCNC"
"CCND1"
"CCND3"
"CD151"
"CD2AP"
"CD44"
"CD46"
"CD55"
"CD59"
"CD74"
"CD82"
"CD9"
"CDC42"
"CDC42EP1"
"CDC73"
"CDCP1"
"CDH1"
"CDK12"
"CDK4"
"CDKN1A"
"CDKN1C"
"CDKN2A"
"CEACAM5"
"CEBPA"
"CEBPB"
"CELF2"
"CEP57"
"CFLAR"
"CHCHD7"
"CHD2"
"CHD3"
"CHD4"
"CHD6"
"CHD9"
"CHKA"
"CHL1"
"CIRBP"
"CITED2"
"CKS1B"
"CKS2"
"CLDN4"
"CLDN7"
"CLIC1"
"CLIP1"
"CLTC"
"CLU"
"CNBP"
"COL1A1"
"COL4A3"
"CORO2A"
"COX6C"
"CPEB4"
"CPM"
"CREB1"
"CREB3L1"
"CREB3L2"
"CREBBP"
"CRIP2"
"CRK"
"CSF3R"
"CSNK1A1"
"CSNK2A1"
"CST6"
"CSTB"
"CTCF"
"CTDSPL"
"CTNNA1"
"CTNNB1"
"CTNND1"
"CTSB"
"CTSH"
"CTTN"
"CUL3"
"CUX1"
"CXCL1"
"CXCL17"
"CXCL2"
"CXXC5"
"CYB5A"
"CYP4B1"
"DAPK1"
"DDIT3"
"DDIT4"
"DDR1"
"DDX1"
"DDX3X"
"DDX5"
"DDX6"
"DEK"
"DENR"
"DHRS3"
"DHX9"
"DICER1"
"DKC1"
"DLC1"
"DLG1"
"DMBT1"
"DNAJB1"
"DNM2"
"DNMT1"
"DPP4"
"DRAM1"
"DSG2"
"DST"
"DUSP1"
"DUSP6"
"DYRK1A"
"EBAG9"
"EEF1A1"
"EFEMP1"
"EGFR"
"EGR1"
"EHF"
"EIF1AX"
"EIF1B"
"EIF2AK2"
"EIF3A"
"EIF3E"
"EIF3F"
"EIF3I"
"EIF4A2"
"EIF4B"
"EIF4E"
"EIF4G1"
"ELAVL1"
"ELF3"
"ELK3"
"ELK4"
"EML4"
"EMP1"
"ENAH"
"ENC1"
"ENO1"
"EP300"
"EPAS1"
"EPCAM"
"EPHA2"
"EPS15"
"EPS8"
"ERBB2"
"ERBB3"
"ERCC1"
"ERGIC3"
"ERRFI1"
"ETNK1"
"ETS2"
"ETV1"
"ETV5"
"ETV6"
"EWSR1"
"EZR"
"FABP5"
"FAM107B"
"FAT1"
"FAU"
"FBXO11"
"FGFR3"
"FHL2"
"FKBP8"
"FKBP9"
"FLII"
"FLNA"
"FLNB"
"FN1"
"FNBP4"
"FOS"
"FOSB"
"FOSL2"
"FOXA1"
"FOXC1"
"FOXO3"
"FOXP1"
"FOXQ1"
"FRYL"
"FUBP1"
"FUS"
"FUT8"
"FXYD3"
"FXYD5"
"GADD45A"
"GADD45G"
"GADD45GIP1"
"GAK"
"GALNT5"
"GAS6"
"GBP1"
"GCNT3"
"GDF15"
"GGA1"
"GNA11"
"GNAI2"
"GNAQ"
"GNAS"
"GPRC5A"
"GRN"
"GSE1"
"GSN"
"GSPT1"
"GSTA1"
"HBP1"
"HDAC1"
"HDAC2"
"HDLBP"
"HERPUD1"
"HES1"
"HEXIM1"
"HIF1A"
"HIP1"
"HIPK2"
"HLTF"
"HMGA1"
"HMGB1"
"HNRNPA2B1"
"HNRNPA3"
"HNRNPD"
"HNRNPK"
"HOOK3"
"HSP90AA1"
"HSP90AB1"
"HSP90B1"
"HSPA5"
"HSPA8"
"HSPA9"
"HSPB1"
"HSPD1"
"HSPG2"
"HSPH1"
"HTATIP2"
"ICAM1"
"ID1"
"ID2"
"ID3"
"ID4"
"IDH1"
"IDH2"
"IER2"
"IER3"
"IFI27"
"IFNAR1"
"IFNGR2"
"IFRD2"
"IGF1R"
"IGF2BP2"
"IGFBP2"
"IGFBP3"
"IGFBP5"
"IGFBP6"
"IGFBP7"
"IKBKB"
"IKZF2"
"IL6ST"
"INPPL1"
"INTS6"
"IRF1"
"IRF2BP2"
"IRS2"
"ITGA6"
"ITGAV"
"ITGB4"
"JAK1"
"JDP2"
"JUN"
"JUNB"
"JUND"
"KAT6A"
"KAT6B"
"KCMF1"
"KDM5A"
"KDSR"
"KIF5B"
"KITLG"
"KLF3"
"KLF4"
"KLF5"
"KLF6"
"KLK11"
"KMT2A"
"KMT2C"
"KPNB1"
"KRAS"
"KTN1"
"LARP4B"
"LASP1"
"LGALS3"
"LGALS3BP"
"LIFR"
"LMNA"
"LMO3"
"LMO7"
"LNPEP"
"LPP"
"LRBA"
"LRIG1"
"LRIG3"
"LRP5"
"LRRFIP1"
"LSM14A"
"LTBP3"
"LTBR"
"LY6E"
"LYN"
"MACF1"
"MAFB"
"MAFK"
"MAML2"
"MANF"
"MAP2K2"
"MAP3K13"
"MAP4"
"MAPK1"
"MAPK13"
"MAPK14"
"MAPKAPK2"
"MAPRE1"
"MARCKS"
"MAZ"
"MCL1"
"MDK"
"MDM2"
"MDM4"
"MECOM"
"MED28"
"MEF2C"
"MEF2D"
"MET"
"METAP2"
"MFHAS1"
"MGMT"
"MIEN1"
"MIER1"
"MIF"
"MLF1"
"MLLT3"
"MLLT6"
"MMP15"
"MNAT1"
"MSI2"
"MSN"
"MTA1"
"MTHFR"
"MTUS1"
"MUC1"
"MUC4"
"MVP"
"MYC"
"MYH9"
"NAA10"
"NACA"
"NAMPT"
"NBR1"
"NCOA2"
"NCOA3"
"NCOA4"
"NCOR1"
"NCOR2"
"NDRG1"
"NDUFA13"
"NECTIN4"
"NET1"
"NF1"
"NFAT5"
"NFATC3"
"NFE2L2"
"NFIB"
"NFIC"
"NFIX"
"NFKB1"
"NFKBIA"
"NIPBL"
"NME1"
"NME3"
"NNMT"
"NOL3"
"NONO"
"NOP53"
"NPM1"
"NQO1"
"NR2F6"
"NR3C1"
"NR4A1"
"NRIP1"
"NSD1"
"NSD3"
"NT5C2"
"NT5E"
"NTHL1"
"NUMA1"
"NUMB"
"PA2G4"
"PABPC1"
"PACSIN2"
"PAFAH1B2"
"PAK2"
"PARK7"
"PATJ"
"PAWR"
"PBRM1"
"PBX1"
"PBX2"
"PCBP1"
"PCM1"
"PCSK7"
"PDCD10"
"PDCD5"
"PDCD6"
"PDE4D"
"PDE4DIP"
"PDS5B"
"PDXK"
"PDZK1IP1"
"PEBP1"
"PEG10"
"PERP"
"PFKFB2"
"PFKFB3"
"PFN1"
"PGGHG"
"PHB"
"PHIP"
"PHLDA1"
"PIAS1"
"PIAS3"
"PICALM"
"PIGR"
"PIM3"
"PIP5K1A"
"PKM"
"PLAUR"
"PLXNB1"
"PMEPA1"
"PPP1CA"
"PPP1CC"
"PPP1R14B"
"PPP1R1B"
"PPP2R1A"
"PPTC7"
"PRDM2"
"PRDX1"
"PRDX4"
"PRKAR1A"
"PRKCI"
"PRPF4B"
"PRSS8"
"PSAP"
"PSCA"
"PSIP1"
"PSMA5"
"PSMD2"
"PTBP1"
"PTEN"
"PTGS2"
"PTK2"
"PTK7"
"PTMA"
"PTP4A3"
"PTPA"
"PTPN1"
"PTPN11"
"PTPN13"
"PTPN14"
"PTPRA"
"PTPRE"
"PTPRG"
"PTPRK"
"PTTG1IP"
"PWWP2A"
"QKI"
"RAB1A"
"RAB31"
"RAB5C"
"RABGAP1L"
"RAC1"
"RACK1"
"RAD21"
"RAD23A"
"RAD23B"
"RAF1"
"RALA"
"RALGPS2"
"RAMP1"
"RAN"
"RANBP17"
"RANBP2"
"RANBP9"
"RAP1A"
"RAP1B"
"RAP2B"
"RAPH1"
"RASGRP1"
"RB1CC1"
"RBBP6"
"RBBP7"
"RBL2"
"RBM39"
"RBM5"
"RBX1"
"REL"
"RERE"
"REST"
"RGS2"
"RHOA"
"RHOB"
"RHOBTB2"
"RHOBTB3"
"RHOC"
"RND3"
"RNF11"
"RNF213"
"RNF43"
"RNF7"
"ROCK2"
"ROS1"
"RPL10"
"RPL22"
"RPL26"
"RPL5"
"RPN1"
"RPS27"
"RRAS"
"RREB1"
"RSF1"
"RSPH1"
"RSRP1"
"RTN4"
"RUNX1"
"RUVBL1"
"S100A10"
"S100A13"
"S100A14"
"S100A2"
"S100A4"
"S100A9"
"S100P"
"SAV1"
"SBDS"
"SBNO1"
"SCAMP4"
"SCD"
"SCNN1B"
"SDC1"
"SDC4"
"SDCBP"
"SDCCAG8"
"SDHA"
"SDHC"
"SDHD"
"SELENOF"
"SELENOP"
"SEMA3B"
"SEMA4B"
"SERINC3"
"SERPINA1"
"SERPINB1"
"SET"
"SETD2"
"SF3B1"
"SFPQ"
"SGK1"
"SH3PXD2A"
"SHC1"
"SHTN1"
"SIVA1"
"SIX1"
"SKIL"
"SKP1"
"SLC16A3"
